Date,Currency,Change
September 1 1980,Chinese renmimbi,
September 1 1980,South African rand,143.1654676
September 1 1980,Australian dollar,177.0144628
October 1 1980,US dollar,201.7699115
October 1 1980,Euro,207.4398249
October 1 1980,Japanese yen,228.059604
October 1 1980,Pound sterling,157.633243
October 1 1980,Canadian dollar,201.289344
October 1 1980,Swiss franc,210.4560623
October 1 1980,Indian rupee,193.8144905
October 1 1980,Chinese renmimbi,
October 1 1980,South African rand,162.8982528
October 1 1980,Australian dollar,198.4504132
December 1 1980,US dollar,180.9734513
December 1 1980,Euro,205.7622174
December 1 1980,Japanese yen,220.8333623
December 1 1980,Pound sterling,144.1734417
December 1 1980,Canadian dollar,187.2961699
December 1 1980,Swiss franc,209.8998888
December 1 1980,Indian rupee,178.3423504
December 1 1980,Chinese renmimbi,
December 1 1980,South African rand,145.8376156
December 1 1980,Australian dollar,182.1280992
January 1 1981,US dollar,160.9734513
January 1 1981,Euro,186.214442
January 1 1981,Japanese yen,177.593832
January 1 1981,Pound sterling,122.8545619
January 1 1981,Canadian dollar,166.8562761
January 1 1981,Swiss franc,191.3793103
January 1 1981,Indian rupee,157.6998159
January 1 1981,Chinese renmimbi,
January 1 1981,South African rand,125.6423433
January 1 1981,Australian dollar,157.9545455
April 1 1981,US dollar,127.5663717
April 1 1981,Euro,173.6688549
April 1 1981,Japanese yen,153.9496211
April 1 1981,Pound sterling,107.4977416
April 1 1981,Canadian dollar,131.8164581
April 1 1981,Swiss franc,176.2791991
April 1 1981,Indian rupee,138.1393273
April 1 1981,Chinese renmimbi,
April 1 1981,South African rand,112.2302158
April 1 1981,Australian dollar,128.9772727
May 1 1981,US dollar,115.7079646
May 1 1981,Euro,172.1371262
May 1 1981,Japanese yen,142.2308403
May 1 1981,Pound sterling,105.4200542
May 1 1981,Canadian dollar,119.7573
May 1 1981,Swiss franc,172.5250278
May 1 1981,Indian rupee,122.9349099
May 1 1981,Chinese renmimbi,
May 1 1981,South African rand,104.3679342
May 1 1981,Australian dollar,117.5103306
June 1 1981,US dollar,113.8495575
June 1 1981,Euro,184.2450766
June 1 1981,Japanese yen,147.8224205
June 1 1981,Pound sterling,112.1047877
June 1 1981,Canadian dollar,119.9848312
June 1 1981,Swiss franc,177.4749722
June 1 1981,Indian rupee,127.5754364
June 1 1981,Chinese renmimbi,
June 1 1981,South African rand,109.5580678
June 1 1981,Australian dollar,118.1301653
July 1 1981,US dollar,86.72566372
July 1 1981,Euro,156.9657185
July 1 1981,Japanese yen,122.6686498
July 1 1981,Pound sterling,100.3613369
July 1 1981,Canadian dollar,91.92263936
July 1 1981,Swiss franc,143.131257
July 1 1981,Indian rupee,107.6579843
July 1 1981,Chinese renmimbi,
July 1 1981,South African rand,93.16546763
July 1 1981,Australian dollar,89.66942149
September 1 1981,US dollar,86.50442478
September 1 1981,Euro,162.5091174
September 1 1981,Japanese yen,126.0834613
September 1 1981,Pound sterling,107.6784101
September 1 1981,Canadian dollar,92.90860827
September 1 1981,Swiss franc,153.4482759
September 1 1981,Indian rupee,112.9678175
September 1 1981,Chinese renmimbi,
September 1 1981,South African rand,105.2929085
September 1 1981,Australian dollar,90.34090909
October 1 1981,US dollar,93.27433628
October 1 1981,Euro,160.0291758
October 1 1981,Japanese yen,135.060431
October 1 1981,Pound sterling,115.4471545
October 1 1981,Canadian dollar,98.93818733
October 1 1981,Swiss franc,138.2091212
October 1 1981,Indian rupee,119.7891684
October 1 1981,Chinese renmimbi,
October 1 1981,South African rand,112.8982528
October 1 1981,Australian dollar,96.48760331
December 1 1981,US dollar,78.09734513
December 1 1981,Euro,137.563822
December 1 1981,Japanese yen,102.2951518
December 1 1981,Pound sterling,87.17253839
December 1 1981,Canadian dollar,81.87334092
December 1 1981,Swiss franc,101.5016685
December 1 1981,Indian rupee,107.875509
December 1 1981,Chinese renmimbi,
December 1 1981,South African rand,102.004111
December 1 1981,Australian dollar,82.6446281
January 1 1982,US dollar,75.88495575
January 1 1982,Euro,138.8767323
January 1 1982,Japanese yen,103.6365195
January 1 1982,Pound sterling,88.07588076
January 1 1982,Canadian dollar,80.24270004
January 1 1982,Swiss franc,100.1668521
January 1 1982,Indian rupee,102.1919795
January 1 1982,Chinese renmimbi,
January 1 1982,South African rand,96.86536485
January 1 1982,Australian dollar,83.3677686
February 1 1982,US dollar,67.92035398
February 1 1982,Euro,135.5215171
February 1 1982,Japanese yen,105.4222296
February 1 1982,Pound sterling,84.19150858
February 1 1982,Canadian dollar,73.60637088
February 1 1982,Swiss franc,98.88765295
February 1 1982,Indian rupee,95.31485303
February 1 1982,Chinese renmimbi,
February 1 1982,South African rand,91.4696814
February 1 1982,Australian dollar,80.16528926
March 1 1982,US dollar,59.86725664
March 1 1982,Euro,129.9051787
March 1 1982,Japanese yen,97.77017901
March 1 1982,Pound sterling,79.13279133
March 1 1982,Canadian dollar,66.97004171
March 1 1982,Swiss franc,89.07119021
March 1 1982,Indian rupee,85.29198505
March 1 1982,Chinese renmimbi,
March 1 1982,South African rand,81.55190134
March 1 1982,Australian dollar,73.14049587
April 1 1982,US dollar,44.69026549
April 1 1982,Euro,112.9832239
April 1 1982,Japanese yen,85.72497562
April 1 1982,Pound sterling,65.31165312
April 1 1982,Canadian dollar,51.34622677
April 1 1982,Swiss franc,75.94549499
April 1 1982,Indian rupee,69.37364047
April 1 1982,Chinese renmimbi,
April 1 1982,South African rand,76.05344296
April 1 1982,Australian dollar,59.81404959
June 1 1982,US dollar,41.0619469
June 1 1982,Euro,103.5740336
June 1 1982,Japanese yen,79.84705166
June 1 1982,Pound sterling,61.06594399
June 1 1982,Canadian dollar,51.00492984
June 1 1982,Swiss franc,78.92102336
June 1 1982,Indian rupee,67.00875676
June 1 1982,Chinese renmimbi,
June 1 1982,South African rand,77.49229188
June 1 1982,Australian dollar,57.28305785
July 1 1982,US dollar,37.30088496
July 1 1982,Euro,114.587892
July 1 1982,Japanese yen,85.00564116
July 1 1982,Pound sterling,61.60794941
July 1 1982,Canadian dollar,52.02882063
July 1 1982,Swiss franc,82.84204672
July 1 1982,Indian rupee,65.58648
July 1 1982,Chinese renmimbi,
July 1 1982,South African rand,83.29907503
July 1 1982,Australian dollar,57.79958678
September 1 1982,US dollar,79.33628319
September 1 1982,Euro,178.920496
September 1 1982,Japanese yen,142.6719395
