Date,Day,Currency,Change
May 1 2001,1,Chinese renmimbi,-9.071238349
May 1 2001,1,South African rand,19.00579857
May 1 2001,1,Australian dollar,16.12096407
Jun 1 2001,1,US dollar,-8.577333793
Jun 1 2001,1,Euro,9.653725079
Jun 1 2001,1,Japanese yen,7.176918113
Jun 1 2001,1,Pound sterling,4.921700224
Jun 1 2001,1,Canadian dollar,-3.029580153
Jun 1 2001,1,Swiss franc,3.855369201
Jun 1 2001,1,Indian rupee,-1.192927981
Jun 1 2001,1,Chinese renmimbi,-8.584387483
Jun 1 2001,1,South African rand,20.07543771
Jun 1 2001,1,Australian dollar,18.64483856
Aug 1 2001,1,US dollar,-7.888391319
Aug 1 2001,1,Euro,6.400839454
Aug 1 2001,1,Japanese yen,13.28057603
Aug 1 2001,1,Pound sterling,4.418344519
Aug 1 2001,1,Canadian dollar,-1.979961832
Aug 1 2001,1,Swiss franc,0
Aug 1 2001,1,Indian rupee,-0.233674472
Aug 1 2001,1,Chinese renmimbi,-7.92276964
Aug 1 2001,1,South African rand,24.13443675
Aug 1 2001,1,Australian dollar,17.8944975
Oct 1 2001,1,US dollar,0.103341371
Oct 1 2001,1,Euro,11.01783841
Oct 1 2001,1,Japanese yen,18.5473627
Oct 1 2001,1,Pound sterling,9.955257271
Oct 1 2001,1,Canadian dollar,9.279580153
Oct 1 2001,1,Swiss franc,2.483119146
Oct 1 2001,1,Indian rupee,10.44485282
Oct 1 2001,1,Chinese renmimbi,0.08322237
Oct 1 2001,1,South African rand,47.6045713
Oct 1 2001,1,Australian dollar,34.10641201
Nov 1 2001,1,US dollar,-3.341370996
Nov 1 2001,1,Euro,8.254634488
Nov 1 2001,1,Japanese yen,15.95965085
Nov 1 2001,1,Pound sterling,7.326621924
Nov 1 2001,1,Canadian dollar,6.464694656
Nov 1 2001,1,Swiss franc,-0.718797648
Nov 1 2001,1,Indian rupee,6.688634707
Nov 1 2001,1,Chinese renmimbi,-3.358022636
Nov 1 2001,1,South African rand,50.43630017
Nov 1 2001,1,Australian dollar,25.23874488
Jan 1 2002,1,US dollar,-4.753703066
Jan 1 2002,1,Euro,8.604407135
Jan 1 2002,1,Japanese yen,23.07883028
Jan 1 2002,1,Pound sterling,6.263982103
Jan 1 2002,1,Canadian dollar,5.295801527
Jan 1 2002,1,Swiss franc,0
Jan 1 2002,1,Indian rupee,5.611355787
Jan 1 2002,1,Chinese renmimbi,-4.772802929
Jan 1 2002,1,South African rand,86.71395598
Jan 1 2002,1,Australian dollar,22.80582083
Feb 1 2002,1,US dollar,-2.204615915
Feb 1 2002,1,Euro,15.32004197
Feb 1 2002,1,Japanese yen,29.0918045
Feb 1 2002,1,Pound sterling,12.30425056
Feb 1 2002,1,Canadian dollar,7.729007634
Feb 1 2002,1,Swiss franc,6.251361359
Feb 1 2002,1,Indian rupee,9.090333006
Feb 1 2002,1,Chinese renmimbi,-2.226198402
Feb 1 2002,1,South African rand,86.03839442
Feb 1 2002,1,Australian dollar,26.7166894
Mar 1 2002,1,US dollar,1.756803307
Mar 1 2002,1,Euro,19.34242742
Mar 1 2002,1,Japanese yen,33.64874503
Mar 1 2002,1,Pound sterling,16.49888143
Mar 1 2002,1,Canadian dollar,12.38072519
Mar 1 2002,1,Swiss franc,9.736440863
Mar 1 2002,1,Indian rupee,13.97690187
Mar 1 2002,1,Chinese renmimbi,1.735186418
Mar 1 2002,1,South African rand,88.29589596
Mar 1 2002,1,Australian dollar,29.74079127
Apr 1 2002,1,US dollar,3.823630727
Apr 1 2002,1,Euro,19.86708639
Apr 1 2002,1,Japanese yen,36.61923038
Apr 1 2002,1,Pound sterling,17.17002237
Apr 1 2002,1,Canadian dollar,15.02862595
Apr 1 2002,1,Swiss franc,9.148333696
Apr 1 2002,1,Indian rupee,16.45939609
Apr 1 2002,1,Chinese renmimbi,3.811584554
Apr 1 2002,1,South African rand,92.75460226
Apr 1 2002,1,Australian dollar,28.17189632
May 1 2002,1,US dollar,6.234929383
May 1 2002,1,Euro,19.02763204
May 1 2002,1,Japanese yen,33.48062358
May 1 2002,1,Pound sterling,17.95302013
May 1 2002,1,Canadian dollar,14.74236641
May 1 2002,1,Swiss franc,7.776083642
May 1 2002,1,Indian rupee,19.51142233
May 1 2002,1,Chinese renmimbi,6.204227696
May 1 2002,1,South African rand,83.65703991
May 1 2002,1,Australian dollar,30.17280582
